team,region,wins,draws,losses,matches,goals_for,goals_against,goal_diff,win_rate,goals_per_match,first_year
Equatorial Guinea,Africa,23,13,20,56,93,102,-9,41.1,1.66,2002
Isle of Man,Europe,22,4,18,44,94,91,3,50.0,2.14,2001
Bangladesh,Asia,22,7,30,59,99,134,-35,37.3,1.68,2010
Nicaragua,CONCACAF,22,10,42,74,99,178,-79,29.7,1.34,1999
Indonesia,Asia,22,14,62,98,88,349,-261,22.4,0.9,1977
Botswana,Africa,21,17,37,75,88,106,-18,28.0,1.17,2007
Kazakhstan,Asia,20,16,81,117,90,353,-263,17.1,0.77,1995
Albania,Europe,20,6,51,77,78,224,-146,26.0,1.01,2013
Ecuador,South America,20,11,38,69,99,184,-85,29.0,1.43,1995
Lebanon,Asia,20,3,29,52,83,152,-69,38.5,1.6,2006
Kosovo,Europe,20,6,27,53,67,114,-47,37.7,1.26,2017
Singapore,Asia,19,7,80,106,71,421,-350,17.9,0.67,1975
Jersey,Europe,19,1,16,36,82,89,-7,52.8,2.28,2001
Namibia,Africa,19,11,26,56,83,94,-11,33.9,1.48,2006
Azerbaijan,Europe,18,9,34,61,47,167,-120,29.5,0.77,2006
Samoa,Oceania,18,5,21,44,62,142,-80,40.9,1.41,1998
Montenegro,Europe,18,7,44,69,91,200,-109,26.1,1.32,2013
Cyprus,Europe,17,3,34,54,44,137,-93,31.5,0.81,2015
Tunisia,Africa,17,12,25,54,109,78,31,31.5,2.02,2006
Western Isles,Non-FIFA,16,2,9,27,61,41,20,59.3,2.26,2007
Suriname,South America,16,1,24,41,85,93,-8,39.0,2.07,2002
Guyana,CONCACAF,16,5,13,34,77,64,13,47.1,2.26,1998
Bulgaria,Europe,16,13,70,99,77,295,-218,16.2,0.78,1987
Tonga,Oceania,16,10,27,53,66,128,-62,30.2,1.25,2003
Solomon Islands,Oceania,15,8,26,49,64,108,-44,30.6,1.31,2007
Luxembourg,Europe,15,7,27,49,65,148,-83,30.6,1.33,2006
Georgia,Europe,14,8,52,74,54,245,-191,18.9,0.73,2006
Isle of Wight,Non-FIFA,14,3,13,30,60,76,-16,46.7,2.0,2001
DR Congo,Africa,14,12,25,51,65,88,-23,27.5,1.27,1998
New Caledonia,Oceania,14,4,16,34,80,77,3,41.2,2.35,1983
Egypt,Africa,14,7,21,42,84,87,-3,33.3,2.0,1998
Uruguay,South America,14,10,36,60,69,143,-74,23.3,1.15,1998
Guam,Other,14,7,42,63,82,266,-184,22.2,1.3,1997
Gotland,Non-FIFA,14,1,6,21,64,24,40,66.7,3.05,2003
United Arab Emirates,Asia,13,5,16,34,53,65,-12,38.2,1.56,2010
Saint Kitts and Nevis,CONCACAF,12,4,14,30,67,135,-68,40.0,2.23,2006
Palestine,Asia,12,9,41,62,61,228,-167,19.4,0.98,2005
Saudi Arabia,Asia,12,6,9,27,41,22,19,44.4,1.52,2023
Saint Lucia,CONCACAF,12,2,16,30,60,91,-31,40.0,2.0,2002
Mozambique,Africa,12,7,21,40,59,111,-52,30.0,1.48,1998
Vanuatu,Oceania,11,3,23,37,52,96,-44,29.7,1.41,2003
Burundi,Africa,11,0,15,26,50,55,-5,42.3,1.92,2016
Moldova,Europe,11,10,59,80,46,256,-210,13.8,0.57,2001
Barbados,CONCACAF,11,3,15,29,49,69,-20,37.9,1.69,2006
Burkina Faso,Africa,11,5,12,28,42,41,1,39.3,1.5,2014
Bahrain,Asia,11,11,23,45,71,102,-31,24.4,1.58,2005
Laos,Asia,10,7,35,52,54,189,-135,19.2,1.04,2007
Curacao,CONCACAF,10,1,9,20,35,45,-10,50.0,1.75,2006
Peru,South America,10,6,42,58,43,150,-107,17.2,0.74,1998
North Macedonia,Europe,10,8,68,86,67,422,-355,11.6,0.78,2006
Honduras,CONCACAF,10,4,31,45,60,136,-76,22.2,1.33,1998
Tahiti,Oceania,9,9,18,36,46,60,-14,25.0,1.28,2003
Cook Islands,Oceania,9,7,26,42,33,121,-88,21.4,0.79,2003
Angola,Africa,9,9,17,35,45,61,-16,25.7,1.29,1995
Gambia,Africa,9,1,13,23,34,55,-21,39.1,1.48,2018
Aruba,CONCACAF,9,2,23,34,42,116,-74,26.5,1.24,2006
U.S. Virgin Islands,CONCACAF,9,1,21,31,42,115,-73,29.0,1.35,2002
Antigua and Barbuda,CONCACAF,9,2,24,35,25,125,-100,25.7,0.71,2006
Andorra,Europe,8,3,20,31,32,93,-61,25.8,1.03,2015
Congo,Africa,8,5,11,24,33,42,-9,33.3,1.38,2004
Togo,Africa,8,1,11,20,35,55,-20,40.0,1.75,2006
Pakistan,Asia,7,5,16,28,29,79,-50,25.0,1.04,2010
Armenia,Europe,7,7,47,61,40,273,-233,11.5,0.66,2003
Sri Lanka,Asia,7,1,27,35,25,126,-101,20.0,0.71,2010
Belize,CONCACAF,7,1,17,25,29,144,-115,28.0,1.16,2001
Sápmi,Non-FIFA,7,0,0,7,39,2,37,100.0,5.57,2022
Cambodia,Asia,7,3,15,25,28,89,-61,28.0,1.12,2018
Ynys Môn,Non-FIFA,7,0,17,24,40,90,-50,29.2,1.67,2001
Greenland,Non-FIFA,7,1,11,19,36,44,-8,36.8,1.89,2007
Guernsey,Europe,7,1,16,24,41,87,-46,29.2,1.71,2001
Eswatini,Africa,6,2,26,34,36,101,-65,17.6,1.06,1998
Tajikistan,Asia,6,1,20,27,27,128,-101,22.2,1.0,2017
Cape Verde,Africa,6,2,6,14,26,17,9,42.9,1.86,2020
Bhutan,Asia,6,4,22,32,38,124,-86,18.8,1.19,2010
Grenada,CONCACAF,6,2,16,24,27,116,-89,25.0,1.12,2006
Saint Vincent and the Grenadines,CONCACAF,6,1,19,26,27,91,-64,23.1,1.04,2006
Liberia,Africa,5,2,5,12,15,18,-3,41.7,1.25,2020
Lesotho,Africa,5,2,27,34,19,100,-81,14.7,0.56,1998
Great Britain,Non-FIFA,5,1,2,8,12,7,5,62.5,1.5,2012
Guinea,Africa,5,4,24,33,21,122,-101,15.2,0.64,1991
Hitra,Non-FIFA,5,0,20,25,33,72,-39,20.0,1.32,2011
Maldives,Asia,5,4,45,54,23,315,-292,9.3,0.43,2004
Gabon,Africa,4,4,15,23,23,48,-25,17.4,1.0,2000
Benin,Africa,4,5,8,17,19,29,-10,23.5,1.12,2006
Madagascar,Africa,4,3,12,19,34,44,-10,21.1,1.79,2015
Bolivia,South America,4,4,34,42,34,177,-143,9.5,0.81,1995
Syria,Asia,4,1,20,25,18,124,-106,16.0,0.72,2005
South Sudan,Africa,4,0,15,19,16,71,-55,21.1,0.84,2019
Martinique,CONCACAF,4,2,12,18,22,79,-57,22.2,1.22,1991
Kyrgyzstan,Asia,4,1,19,24,14,86,-72,16.7,0.58,2009
Reunion,Africa,4,2,3,9,18,16,2,44.4,2.0,2000
Sierra Leone,Africa,3,6,10,19,14,38,-24,15.8,0.74,1994
Chad,Africa,3,4,4,11,29,21,8,27.3,2.64,2019
Dominica,CONCACAF,3,3,28,34,18,192,-174,8.8,0.53,2002
Guinea-Bissau,Africa,3,1,12,16,13,43,-30,18.8,0.81,2020
Menorca,Non-FIFA,3,1,4,8,12,20,-8,37.5,1.5,2017
Northern Mariana Islands,Oceania,3,4,12,19,21,114,-93,15.8,1.11,2009
Prince Edward Island,Non-FIFA,3,0,1,4,13,3,10,75.0,3.25,2007
Rwanda,Africa,3,3,11,17,18,38,-20,17.6,1.06,2014
Mongolia,Asia,2,3,14,19,13,124,-111,10.5,0.68,2018
Bonaire,Non-FIFA,2,1,3,6,6,14,-8,33.3,1.0,2023
Mayotte,Africa,2,1,1,4,6,6,0,50.0,1.5,2015
Gozo,Non-FIFA,2,1,2,5,4,6,-2,40.0,0.8,2025
Anguilla,CONCACAF,2,2,13,17,15,68,-53,11.8,0.88,2010
Comoros,Africa,2,1,16,19,11,104,-93,10.5,0.58,2014
Afghanistan,Asia,2,2,16,20,18,113,-95,10.0,0.9,2010
Mauritius,Africa,1,0,17,18,5,93,-88,5.6,0.28,2015
Iraq,Asia,1,1,15,17,6,63,-57,5.9,0.35,2011
Mauritania,Africa,1,1,5,7,3,15,-12,14.3,0.43,2021
Surrey,Non-FIFA,1,0,0,1,4,0,4,100.0,4.0,2022
Shetland,Non-FIFA,1,2,6,9,7,35,-28,11.1,0.78,2005
Rhodes,Non-FIFA,1,0,6,7,7,27,-20,14.3,1.0,2003
Liechtenstein,Europe,1,3,8,12,12,38,-26,8.3,1.0,2022
Saare County,Non-FIFA,1,0,2,3,1,4,-3,33.3,0.33,2011
Timor-Leste,Asia,1,2,19,22,6,118,-112,4.5,0.27,2016
Seychelles,Africa,1,0,11,12,10,81,-71,8.3,0.83,2015
American Samoa,Oceania,1,2,21,24,5,145,-140,4.2,0.21,1998
Tamil Eelam,Non-FIFA,1,1,3,5,4,14,-10,20.0,0.8,2024
Orkney,Non-FIFA,1,0,3,4,4,17,-13,25.0,1.0,2025
Cayman Islands,CONCACAF,1,1,17,19,9,75,-66,5.3,0.47,2003
British Virgin Islands,CONCACAF,0,0,11,11,2,109,-107,0.0,0.18,2006
Djibouti,Africa,0,0,13,13,1,88,-87,0.0,0.08,2006
Turks and Caicos Islands,CONCACAF,0,1,14,15,2,90,-88,0.0,0.13,2006
Székely Land,Non-FIFA,0,1,3,4,2,8,-6,0.0,0.5,2024
Tibet,Non-FIFA,0,0,2,2,1,22,-21,0.0,0.5,2022
Froya,Non-FIFA,0,0,3,3,1,11,-10,0.0,0.33,2025
Sudan,Africa,0,0,4,4,2,41,-39,0.0,0.5,2021
Macau,Asia,0,3,7,10,0,54,-54,0.0,0.0,2014
Central African Republic,Africa,0,3,6,9,3,19,-16,0.0,0.33,2006
Kuwait,Asia,0,0,5,5,1,75,-74,0.0,0.2,2010
Turkmenistan,Asia,0,2,6,8,2,48,-46,0.0,0.25,2019
Kiribati,Oceania,0,0,6,6,2,38,-36,0.0,0.33,2003
Guadeloupe,CONCACAF,0,0,7,7,2,42,-40,0.0,0.29,2018
Niger,Africa,0,0,10,10,2,77,-75,0.0,0.2,2018
Gibraltar,Europe,0,1,23,24,12,111,-99,0.0,0.5,2011
Sao Tome and Principe,Africa,0,0,5,5,0,22,-22,0.0,0.0,2002
Zanzibar,Africa,0,0,9,9,1,65,-64,0.0,0.11,2016
Libya,Africa,0,0,7,7,0,66,-66,0.0,0.0,2016
Bahamas,CONCACAF,0,1,6,7,4,31,-27,0.0,0.57,2002
Qatar,Asia,0,0,3,3,2,19,-17,0.0,0.67,2014
Eritrea,Africa,0,3,7,10,11,31,-20,0.0,1.1,2002
Catalonia,Non-FIFA,0,1,0,1,0,0,0,0.0,0.0,2019
