team,region,wins,draws,losses,matches,goals_for,goals_against,goal_diff,win_rate,goals_per_match,first_year
United States,CONCACAF,465,77,48,590,1762,338,1424,78.8,2.99,1985
Germany,Europe,292,57,73,422,1216,311,905,69.2,2.88,1956
Sweden,Europe,289,87,106,482,1083,416,667,60.0,2.25,1974
Norway,Europe,273,71,122,466,1077,470,607,58.6,2.31,1978
China PR,Asia,241,78,147,466,1072,468,604,51.7,2.3,1986
Denmark,Europe,233,63,138,434,915,481,434,53.7,2.11,1969
France,Europe,229,61,77,367,835,321,514,62.4,2.28,1969
England,Europe,222,65,92,379,903,354,549,58.6,2.38,1957
Italy,Europe,214,66,114,394,809,429,380,54.3,2.05,1969
Japan,Asia,211,51,126,388,1003,461,542,54.4,2.59,1977
Brazil,South America,191,46,76,313,853,307,546,61.0,2.73,1986
Canada,CONCACAF,185,51,111,347,696,393,303,53.3,2.01,1987
Netherlands,Europe,172,59,105,336,689,373,316,51.2,2.05,1956
Australia,Oceania,161,45,105,311,770,400,370,51.8,2.48,1975
Thailand,Asia,154,26,111,291,736,532,204,52.9,2.53,1975
Spain,Europe,152,47,72,271,690,270,420,56.1,2.55,1985
Vietnam,Asia,137,18,84,239,653,390,263,57.3,2.73,1997
Mexico,CONCACAF,127,36,127,290,570,514,56,43.8,1.97,1970
South Korea,Asia,126,51,130,307,686,475,211,41.0,2.23,1990
North Korea,Asia,125,28,39,192,665,136,529,65.1,3.46,1989
Scotland,Europe,119,28,107,254,497,394,103,46.9,1.96,1972
Iceland,Europe,118,47,104,269,484,361,123,43.9,1.8,1982
Russia,Europe,117,32,81,230,435,325,110,50.9,1.89,1991
Nigeria,Africa,114,30,57,201,453,209,244,56.7,2.25,1991
South Africa,Africa,114,39,77,230,455,289,166,49.6,1.98,1994
Taiwan,Asia,109,21,94,224,536,406,130,48.7,2.39,1977
Belgium,Europe,104,48,97,249,483,401,82,41.8,1.94,1982
Finland,Europe,103,67,173,343,417,599,-182,30.0,1.22,1974
Costa Rica,CONCACAF,98,26,87,211,447,345,102,46.4,2.12,1991
Switzerland,Europe,98,47,125,270,447,474,-27,36.3,1.66,1970
Republic of Ireland,Europe,95,35,100,230,326,321,5,41.3,1.42,1982
Myanmar,Asia,95,26,63,184,497,268,229,51.6,2.7,1995
Portugal,Europe,90,44,163,297,352,580,-228,30.3,1.19,1982
Austria,Europe,88,28,77,193,352,286,66,45.6,1.82,1957
Ukraine,Europe,88,27,67,182,307,266,41,48.4,1.69,1993
Poland,Europe,88,31,80,199,349,340,9,44.2,1.75,1989
Czech Republic,Europe,87,44,84,215,417,328,89,40.5,1.94,1987
New Zealand,Oceania,84,31,108,223,486,328,158,37.7,2.18,1975
Romania,Europe,80,40,76,196,369,309,60,40.8,1.88,1991
Hungary,Europe,72,33,109,214,364,434,-70,33.6,1.7,1985
Ghana,Africa,70,27,41,138,266,171,95,50.7,1.93,1991
Serbia,Europe,69,17,69,155,255,297,-42,44.5,1.65,1992
Slovakia,Europe,67,20,93,180,295,318,-23,37.2,1.64,1993
India,Asia,67,14,60,141,398,271,127,47.5,2.82,1981
Wales,Europe,65,45,97,207,267,335,-68,31.4,1.29,1979
Jordan,Asia,60,14,47,121,325,230,95,49.6,2.69,2005
Papua New Guinea,Oceania,59,6,32,97,271,239,32,60.8,2.79,1989
Cameroon,Africa,59,26,48,133,193,184,9,44.4,1.45,1991
Belarus,Europe,57,21,70,148,228,279,-51,38.5,1.54,1995
Philippines,Asia,55,17,102,174,263,505,-242,31.6,1.51,1981
Argentina,South America,54,28,61,143,215,264,-49,37.8,1.5,1971
Trinidad and Tobago,CONCACAF,54,17,57,128,303,306,-3,42.2,2.37,1991
Zambia,Africa,54,28,45,127,257,210,47,42.5,2.02,1994
Uzbekistan,Asia,52,7,45,104,261,233,28,50.0,2.51,1995
Colombia,South America,51,36,49,136,198,199,-1,37.5,1.46,1998
Jamaica,CONCACAF,51,13,62,126,309,272,37,40.5,2.45,1991
Slovenia,Europe,50,15,61,126,214,283,-69,39.7,1.7,1993
Haiti,CONCACAF,50,7,50,107,282,200,82,46.7,2.64,1981
Chile,South America,48,23,65,136,187,226,-39,35.3,1.38,1991
Northern Ireland,Europe,45,24,110,179,202,407,-205,25.1,1.13,1979
Estonia,Europe,45,25,120,190,197,545,-348,23.7,1.04,1995
Greece,Europe,44,19,94,157,190,381,-191,28.0,1.21,1991
Zimbabwe,Africa,44,11,35,90,155,124,31,48.9,1.72,2000
Tanzania,Africa,43,23,34,100,187,133,54,43.0,1.87,2002
Guatemala,CONCACAF,42,8,44,94,216,222,-6,44.7,2.3,1998
Israel,Europe,41,14,79,134,153,330,-177,30.6,1.14,1997
Croatia,Europe,41,27,91,159,159,342,-183,25.8,1.0,1993
Nepal,Asia,41,12,37,90,205,162,43,45.6,2.28,1986
Turkey,Europe,38,13,69,120,155,293,-138,31.7,1.29,1995
Lithuania,Europe,37,26,62,125,145,274,-129,29.6,1.16,1993
Algeria,Africa,37,18,29,84,139,113,26,44.0,1.65,2000
Hong Kong,Asia,36,11,99,146,138,536,-398,24.7,0.95,1975
Faroe Islands,Europe,35,6,66,107,194,319,-125,32.7,1.81,1995
Morocco,Africa,35,20,27,82,117,109,8,42.7,1.43,1998
Panama,CONCACAF,35,13,43,91,172,199,-27,38.5,1.89,2002
Fiji,Oceania,34,6,27,67,140,170,-30,50.7,2.09,1983
Bosnia and Herzegovina,Europe,33,20,86,139,127,376,-249,23.7,0.91,1997
Mali,Africa,32,20,38,90,152,135,17,35.6,1.69,2002
Senegal,Africa,31,16,30,77,113,96,17,40.3,1.47,2002
Venezuela,South America,30,8,35,73,111,137,-26,41.1,1.52,1991
Iran,Asia,30,9,30,69,165,107,58,43.5,2.39,2005
Latvia,Europe,30,17,74,121,123,313,-190,24.8,1.02,1993
Ivory Coast,Africa,30,23,19,72,137,98,39,41.7,1.9,1988
Bermuda,CONCACAF,30,5,17,52,127,71,56,57.7,2.44,2005
Kenya,Africa,29,9,25,63,134,80,54,46.0,2.13,2006
Malta,Europe,29,17,64,110,101,282,-181,26.4,0.92,2003
Dominican Republic,CONCACAF,28,6,17,51,128,93,35,54.9,2.51,2002
El Salvador,CONCACAF,27,4,34,65,136,144,-8,41.5,2.09,1998
Malawi,Africa,27,8,22,57,153,109,44,47.4,2.68,2004
Cuba,CONCACAF,26,6,16,48,157,96,61,54.2,3.27,2007
Puerto Rico,CONCACAF,26,8,19,53,143,119,24,49.1,2.7,1998
Ethiopia,Africa,25,12,26,63,123,88,35,39.7,1.95,2002
Paraguay,South America,24,7,29,60,91,130,-39,40.0,1.52,1998
Åland,Non-FIFA,24,2,6,32,136,38,98,75.0,4.25,2001
Uganda,Africa,24,10,25,59,95,84,11,40.7,1.61,1998
Malaysia,Asia,23,14,83,120,95,459,-364,19.2,0.79,1975
